,,POTATO,CABBAGE,BEETROOT,CARROT
Aleja Komisji Edukacji Narodowej 14,42,41.0,19.0,12.0,29.0
Mińska 25A,42,41.0,19.0,13.0,30.0
Częstochowska 4/6,42,42.0,20.0,11.0,30.0
Ostrobramska 71,42,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,42,42.0,20.0,11.0,30.0
Sardyńska 1,42,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,42,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,42,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,42,42.0,20.0,12.0,30.0
Złota 44,43,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,43,41.0,19.0,12.0,29.0
Mińska 25A,43,41.0,19.0,13.0,30.0
Częstochowska 4/6,43,42.0,20.0,11.0,30.0
Ostrobramska 71,43,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,43,42.0,20.0,11.0,30.0
Sardyńska 1,43,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,43,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,43,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,43,42.0,20.0,12.0,30.0
Złota 44,44,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,44,41.0,19.0,12.0,29.0
Mińska 25A,44,41.0,19.0,13.0,30.0
Częstochowska 4/6,44,42.0,20.0,11.0,30.0
Ostrobramska 71,44,40.0,19.0,12.0,30.0
